frame.number,frame.time,wlan.sa,wlan.da,wlan_radio.signal_dbm,wlan.ssid
"1","May  7, 2023 10:28:12.513169000 CEST","e2:38:0a:a1:4e:2d","ff:ff:ff:ff:ff:ff","-21","<MISSING>"
"2","May  7, 2023 10:28:12.533292000 CEST","e2:38:0a:a1:4e:2d","ff:ff:ff:ff:ff:ff","-20","<MISSING>"
"3","May  7, 2023 10:28:12.550259000 CEST","e2:38:0a:a1:4e:2d","ff:ff:ff:ff:ff:ff","-22","<MISSING>"
"4","May  7, 2023 10:28:12.570462000 CEST","e2:38:0a:a1:4e:2d","ff:ff:ff:ff:ff:ff","-22","<MISSING>"
"5","May  7, 2023 10:28:28.838386000 CEST","1e:21:ab:77:68:23","ff:ff:ff:ff:ff:ff","-16","<MISSING>"
"6","May  7, 2023 10:28:28.858458000 CEST","1e:21:ab:77:68:23","ff:ff:ff:ff:ff:ff","-15","<MISSING>"
"7","May  7, 2023 10:28:35.585846000 CEST","4a:b5:24:73:83:1d","ff:ff:ff:ff:ff:ff","-12","<MISSING>"
"8","May  7, 2023 10:28:35.641034000 CEST","4a:b5:24:73:83:1d","ff:ff:ff:ff:ff:ff","-12","<MISSING>"
"9","May  7, 2023 10:28:35.706027000 CEST","4a:b5:24:73:83:1d","ff:ff:ff:ff:ff:ff","-12","<MISSING>"
"10","May  7, 2023 10:28:35.761729000 CEST","4a:b5:24:73:83:1d","ff:ff:ff:ff:ff:ff","-13","<MISSING>"
"11","May  7, 2023 10:28:35.821808000 CEST","4a:b5:24:73:83:1d","ff:ff:ff:ff:ff:ff","-15","<MISSING>"
"12","May  7, 2023 10:29:44.027634000 CEST","42:bb:48:31:51:0c","ff:ff:ff:ff:ff:ff","-15","<MISSING>"
"13","May  7, 2023 10:29:44.047855000 CEST","42:bb:48:31:51:0c","ff:ff:ff:ff:ff:ff","-14","<MISSING>"
"14","May  7, 2023 10:29:44.072389000 CEST","42:bb:48:31:51:0c","ff:ff:ff:ff:ff:ff","-16","<MISSING>"
"15","May  7, 2023 10:29:44.092535000 CEST","42:bb:48:31:51:0c","ff:ff:ff:ff:ff:ff","-16","<MISSING>"
"16","May  7, 2023 10:29:44.137642000 CEST","42:bb:48:31:51:0c","ff:ff:ff:ff:ff:ff","-19","<MISSING>"
"17","May  7, 2023 10:30:43.872419000 CEST","ae:46:e9:ea:6c:3c","ff:ff:ff:ff:ff:ff","-15","<MISSING>"
"18","May  7, 2023 10:32:58.888048000 CEST","6e:a9:2f:5a:cb:b5","ff:ff:ff:ff:ff:ff","-24","<MISSING>"
"19","May  7, 2023 10:32:58.894093000 CEST","6e:a9:2f:5a:cb:b5","ff:ff:ff:ff:ff:ff","-26","<MISSING>"
"20","May  7, 2023 10:32:58.919353000 CEST","6e:a9:2f:5a:cb:b5","ff:ff:ff:ff:ff:ff","-28","<MISSING>"
"21","May  7, 2023 10:35:13.868339000 CEST","d6:f4:ad:82:31:a8","ff:ff:ff:ff:ff:ff","-22","<MISSING>"
"22","May  7, 2023 10:35:13.893724000 CEST","d6:f4:ad:82:31:a8","ff:ff:ff:ff:ff:ff","-23","<MISSING>"
"23","May  7, 2023 10:35:13.918687000 CEST","d6:f4:ad:82:31:a8","ff:ff:ff:ff:ff:ff","-26","<MISSING>"
"24","May  7, 2023 10:37:28.884181000 CEST","9a:a5:22:c5:26:ba","ff:ff:ff:ff:ff:ff","-27","<MISSING>"
"25","May  7, 2023 10:38:53.257516000 CEST","9e:34:f2:c9:a7:11","ff:ff:ff:ff:ff:ff","-27","<MISSING>"
"26","May  7, 2023 10:38:53.277488000 CEST","9e:34:f2:c9:a7:11","ff:ff:ff:ff:ff:ff","-27","<MISSING>"
"27","May  7, 2023 10:38:53.316816000 CEST","9e:34:f2:c9:a7:11","ff:ff:ff:ff:ff:ff","-29","<MISSING>"
"28","May  7, 2023 10:40:58.247004000 CEST","b2:35:44:1e:36:68","ff:ff:ff:ff:ff:ff","-24","<MISSING>"
"29","May  7, 2023 10:40:58.267139000 CEST","b2:35:44:1e:36:68","ff:ff:ff:ff:ff:ff","-25","<MISSING>"
"30","May  7, 2023 10:40:58.331082000 CEST","b2:35:44:1e:36:68","ff:ff:ff:ff:ff:ff","-26","<MISSING>"
"31","May  7, 2023 10:40:58.351278000 CEST","b2:35:44:1e:36:68","ff:ff:ff:ff:ff:ff","-26","<MISSING>"
"32","May  7, 2023 10:41:58.865014000 CEST","da:49:a4:57:fc:3a","ff:ff:ff:ff:ff:ff","-24","<MISSING>"
"33","May  7, 2023 10:41:58.914323000 CEST","da:49:a4:57:fc:3a","ff:ff:ff:ff:ff:ff","-26","<MISSING>"
"34","May  7, 2023 10:46:28.859096000 CEST","72:4e:c1:39:65:5e","ff:ff:ff:ff:ff:ff","-24","<MISSING>"
"35","May  7, 2023 10:46:28.883537000 CEST","72:4e:c1:39:65:5e","ff:ff:ff:ff:ff:ff","-23","<MISSING>"
"36","May  7, 2023 10:46:28.921951000 CEST","72:4e:c1:39:65:5e","ff:ff:ff:ff:ff:ff","-26","<MISSING>"
"37","May  7, 2023 10:50:58.856243000 CEST","5e:69:20:eb:af:a3","ff:ff:ff:ff:ff:ff","-23","<MISSING>"
"38","May  7, 2023 10:50:58.880312000 CEST","5e:69:20:eb:af:a3","ff:ff:ff:ff:ff:ff","-23","<MISSING>"
"39","May  7, 2023 10:50:58.905731000 CEST","5e:69:20:eb:af:a3","ff:ff:ff:ff:ff:ff","-25","<MISSING>"
