frame.number,frame.time,wlan.sa,wlan.da,wlan_radio.signal_dbm,wlan.ssid
"1","May  7, 2023 11:14:19.619683000 CEST","f6:71:6d:3c:9c:d7","ff:ff:ff:ff:ff:ff","-23","<MISSING>"
"2","May  7, 2023 11:14:19.639872000 CEST","f6:71:6d:3c:9c:d7","ff:ff:ff:ff:ff:ff","-24","<MISSING>"
"3","May  7, 2023 11:14:19.656667000 CEST","f6:71:6d:3c:9c:d7","ff:ff:ff:ff:ff:ff","-25","<MISSING>"
"4","May  7, 2023 11:14:19.676742000 CEST","f6:71:6d:3c:9c:d7","ff:ff:ff:ff:ff:ff","-25","<MISSING>"
"5","May  7, 2023 11:14:19.750312000 CEST","62:d9:5c:fa:27:29","ff:ff:ff:ff:ff:ff","-25","<MISSING>"
"6","May  7, 2023 11:14:19.770488000 CEST","62:d9:5c:fa:27:29","ff:ff:ff:ff:ff:ff","-25","<MISSING>"
"7","May  7, 2023 11:14:49.881085000 CEST","9e:f3:88:b5:b1:34","ff:ff:ff:ff:ff:ff","-12","<MISSING>"
"8","May  7, 2023 11:14:49.936264000 CEST","9e:f3:88:b5:b1:34","ff:ff:ff:ff:ff:ff","-13","<MISSING>"
"9","May  7, 2023 11:14:50.051250000 CEST","9e:f3:88:b5:b1:34","ff:ff:ff:ff:ff:ff","-14","<MISSING>"
"10","May  7, 2023 11:14:50.110739000 CEST","9e:f3:88:b5:b1:34","ff:ff:ff:ff:ff:ff","-14","<MISSING>"
"11","May  7, 2023 11:14:58.463300000 CEST","02:da:0e:34:33:c6","ff:ff:ff:ff:ff:ff","-12","<MISSING>"
"12","May  7, 2023 11:14:58.483592000 CEST","02:da:0e:34:33:c6","ff:ff:ff:ff:ff:ff","-12","<MISSING>"
"13","May  7, 2023 11:14:58.508698000 CEST","02:da:0e:34:33:c6","ff:ff:ff:ff:ff:ff","-14","<MISSING>"
"14","May  7, 2023 11:14:58.528739000 CEST","02:da:0e:34:33:c6","ff:ff:ff:ff:ff:ff","-14","<MISSING>"
"15","May  7, 2023 11:14:58.553789000 CEST","02:da:0e:34:33:c6","ff:ff:ff:ff:ff:ff","-14","<MISSING>"
"16","May  7, 2023 11:15:01.460149000 CEST","16:15:93:5e:1a:d8","ff:ff:ff:ff:ff:ff","-11","<MISSING>"
"17","May  7, 2023 11:15:01.480324000 CEST","16:15:93:5e:1a:d8","ff:ff:ff:ff:ff:ff","-12","<MISSING>"
"18","May  7, 2023 11:15:01.505171000 CEST","16:15:93:5e:1a:d8","ff:ff:ff:ff:ff:ff","-14","<MISSING>"
"19","May  7, 2023 11:15:01.525788000 CEST","16:15:93:5e:1a:d8","ff:ff:ff:ff:ff:ff","-14","<MISSING>"
"20","May  7, 2023 11:15:01.550621000 CEST","16:15:93:5e:1a:d8","ff:ff:ff:ff:ff:ff","-14","<MISSING>"
"21","May  7, 2023 11:15:59.228364000 CEST","b6:b2:ac:3e:72:f0","ff:ff:ff:ff:ff:ff","-11","<MISSING>"
"22","May  7, 2023 11:15:59.248567000 CEST","b6:b2:ac:3e:72:f0","ff:ff:ff:ff:ff:ff","-11","<MISSING>"
"23","May  7, 2023 11:15:59.273461000 CEST","b6:b2:ac:3e:72:f0","ff:ff:ff:ff:ff:ff","-13","<MISSING>"
"24","May  7, 2023 11:15:59.310509000 CEST","b6:b2:ac:3e:72:f0","ff:ff:ff:ff:ff:ff","-14","<MISSING>"
"25","May  7, 2023 11:15:59.338529000 CEST","b6:b2:ac:3e:72:f0","ff:ff:ff:ff:ff:ff","-14","<MISSING>"
"26","May  7, 2023 11:16:32.149180000 CEST","92:ff:26:d1:32:33","ff:ff:ff:ff:ff:ff","-12","<MISSING>"
"27","May  7, 2023 11:16:32.169010000 CEST","92:ff:26:d1:32:33","ff:ff:ff:ff:ff:ff","-12","<MISSING>"
"28","May  7, 2023 11:18:43.846228000 CEST","0a:cf:9d:f0:8f:2c","ff:ff:ff:ff:ff:ff","-17","<MISSING>"
"29","May  7, 2023 11:18:43.866393000 CEST","0a:cf:9d:f0:8f:2c","ff:ff:ff:ff:ff:ff","-18","<MISSING>"
"30","May  7, 2023 11:18:44.169106000 CEST","82:1c:08:8b:38:ae","ff:ff:ff:ff:ff:ff","-17","<MISSING>"
"31","May  7, 2023 11:18:44.189386000 CEST","82:1c:08:8b:38:ae","ff:ff:ff:ff:ff:ff","-19","<MISSING>"
"32","May  7, 2023 11:18:44.214310000 CEST","82:1c:08:8b:38:ae","ff:ff:ff:ff:ff:ff","-21","<MISSING>"
"33","May  7, 2023 11:18:44.234849000 CEST","82:1c:08:8b:38:ae","ff:ff:ff:ff:ff:ff","-20","<MISSING>"
"34","May  7, 2023 11:20:58.882945000 CEST","96:55:4f:57:f3:37","ff:ff:ff:ff:ff:ff","-18","<MISSING>"
"35","May  7, 2023 11:20:58.906326000 CEST","96:55:4f:57:f3:37","ff:ff:ff:ff:ff:ff","-20","<MISSING>"
"36","May  7, 2023 11:23:13.880413000 CEST","c2:07:d3:de:84:e4","ff:ff:ff:ff:ff:ff","-18","<MISSING>"
"37","May  7, 2023 11:23:13.903871000 CEST","c2:07:d3:de:84:e4","ff:ff:ff:ff:ff:ff","-20","<MISSING>"
"38","May  7, 2023 11:23:13.928827000 CEST","c2:07:d3:de:84:e4","ff:ff:ff:ff:ff:ff","-20","<MISSING>"
"39","May  7, 2023 11:27:29.223619000 CEST","3e:31:79:97:84:77","ff:ff:ff:ff:ff:ff","-18","<MISSING>"
"40","May  7, 2023 11:27:29.238020000 CEST","3e:31:79:97:84:77","ff:ff:ff:ff:ff:ff","-20","<MISSING>"
"41","May  7, 2023 11:27:29.269883000 CEST","3e:31:79:97:84:77","ff:ff:ff:ff:ff:ff","-20","<MISSING>"
"42","May  7, 2023 11:27:29.282763000 CEST","3e:31:79:97:84:77","ff:ff:ff:ff:ff:ff","-20","<MISSING>"
"43","May  7, 2023 11:27:29.307858000 CEST","3e:31:79:97:84:77","ff:ff:ff:ff:ff:ff","-20","<MISSING>"
"44","May  7, 2023 11:27:29.328051000 CEST","3e:31:79:97:84:77","ff:ff:ff:ff:ff:ff","-20","<MISSING>"
"45","May  7, 2023 11:27:43.843681000 CEST","22:ed:b2:07:99:04","ff:ff:ff:ff:ff:ff","-11","<MISSING>"
