frame.number,frame.time,wlan.sa,wlan.da,wlan_radio.signal_dbm
"1","May  7, 2023 10:51:43.573877000 CEST","86:89:51:4e:df:3f","ff:ff:ff:ff:ff:ff","-25"
"2","May  7, 2023 10:51:43.594414000 CEST","86:89:51:4e:df:3f","ff:ff:ff:ff:ff:ff","-26"
"3","May  7, 2023 10:51:43.639149000 CEST","86:89:51:4e:df:3f","ff:ff:ff:ff:ff:ff","-27"
"4","May  7, 2023 10:52:05.298373000 CEST","46:cf:01:fd:35:98","ff:ff:ff:ff:ff:ff","-10"
"5","May  7, 2023 10:52:05.353489000 CEST","46:cf:01:fd:35:98","ff:ff:ff:ff:ff:ff","-11"
"6","May  7, 2023 10:52:05.413236000 CEST","46:cf:01:fd:35:98","ff:ff:ff:ff:ff:ff","-11"
"7","May  7, 2023 10:53:58.059930000 CEST","be:cc:c3:30:99:a9","ff:ff:ff:ff:ff:ff","-10"
"8","May  7, 2023 10:53:58.080152000 CEST","be:cc:c3:30:99:a9","ff:ff:ff:ff:ff:ff","-10"
"9","May  7, 2023 10:54:06.277888000 CEST","ea:2b:91:20:f9:5e","ff:ff:ff:ff:ff:ff","-10"
"10","May  7, 2023 10:54:06.333098000 CEST","ea:2b:91:20:f9:5e","ff:ff:ff:ff:ff:ff","-10"
"11","May  7, 2023 10:54:06.562899000 CEST","ea:2b:91:20:f9:5e","ff:ff:ff:ff:ff:ff","-13"
"12","May  7, 2023 10:56:13.059056000 CEST","16:15:f3:d0:6f:f1","ff:ff:ff:ff:ff:ff","-11"
"13","May  7, 2023 10:56:13.079118000 CEST","16:15:f3:d0:6f:f1","ff:ff:ff:ff:ff:ff","-10"
"14","May  7, 2023 10:57:55.316084000 CEST","46:35:25:0f:09:42","ff:ff:ff:ff:ff:ff","-11"
"15","May  7, 2023 10:58:28.059422000 CEST","3a:c5:f6:b1:55:48","ff:ff:ff:ff:ff:ff","-12"
"16","May  7, 2023 10:58:28.079649000 CEST","3a:c5:f6:b1:55:48","ff:ff:ff:ff:ff:ff","-11"
"17","May  7, 2023 11:02:58.053011000 CEST","a2:d4:86:5c:6c:71","ff:ff:ff:ff:ff:ff","-10"
"18","May  7, 2023 11:02:58.073231000 CEST","a2:d4:86:5c:6c:71","ff:ff:ff:ff:ff:ff","-11"
"19","May  7, 2023 11:05:20.233455000 CEST","8a:65:94:ab:d4:97","ff:ff:ff:ff:ff:ff","-12"
"20","May  7, 2023 11:05:20.289021000 CEST","8a:65:94:ab:d4:97","ff:ff:ff:ff:ff:ff","-11"
"21","May  7, 2023 11:05:20.349758000 CEST","8a:65:94:ab:d4:97","ff:ff:ff:ff:ff:ff","-11"
"22","May  7, 2023 11:07:28.048587000 CEST","62:4a:75:c5:79:36","ff:ff:ff:ff:ff:ff","-13"
"23","May  7, 2023 11:07:28.069726000 CEST","62:4a:75:c5:79:36","ff:ff:ff:ff:ff:ff","-12"
"24","May  7, 2023 11:11:58.043863000 CEST","2e:a6:68:7b:ed:eb","ff:ff:ff:ff:ff:ff","-12"
"25","May  7, 2023 11:11:58.064261000 CEST","2e:a6:68:7b:ed:eb","ff:ff:ff:ff:ff:ff","-12"
