frame.number,frame.time,wlan.sa,wlan.da,wlan_radio.signal_dbm,wlan.ssid
"1","May  7, 2023 14:17:36.536946000 CEST","da:bd:c2:21:39:e6","ff:ff:ff:ff:ff:ff","-10","<MISSING>"
"2","May  7, 2023 14:17:36.557040000 CEST","da:bd:c2:21:39:e6","ff:ff:ff:ff:ff:ff","-12","<MISSING>"
"3","May  7, 2023 14:17:36.609465000 CEST","da:bd:c2:21:39:e6","ff:ff:ff:ff:ff:ff","-9","<MISSING>"
"4","May  7, 2023 14:19:43.396459000 CEST","9a:b2:67:5f:f9:82","ff:ff:ff:ff:ff:ff","-11","<MISSING>"
"5","May  7, 2023 14:21:58.397069000 CEST","96:53:2a:74:a6:31","ff:ff:ff:ff:ff:ff","-11","<MISSING>"
"6","May  7, 2023 14:21:58.445485000 CEST","96:53:2a:74:a6:31","ff:ff:ff:ff:ff:ff","-10","<MISSING>"
"7","May  7, 2023 14:24:13.398545000 CEST","ca:b7:a0:5d:82:d9","ff:ff:ff:ff:ff:ff","-14","<MISSING>"
"8","May  7, 2023 14:28:43.396157000 CEST","7a:79:b1:25:c7:eb","ff:ff:ff:ff:ff:ff","-14","<MISSING>"
"9","May  7, 2023 14:28:43.419623000 CEST","7a:79:b1:25:c7:eb","ff:ff:ff:ff:ff:ff","-11","<MISSING>"
"10","May  7, 2023 14:32:27.536757000 CEST","6e:9f:e1:64:59:75","ff:ff:ff:ff:ff:ff","-14","<MISSING>"
"11","May  7, 2023 14:32:27.557038000 CEST","6e:9f:e1:64:59:75","ff:ff:ff:ff:ff:ff","-12","<MISSING>"
"12","May  7, 2023 14:32:27.596307000 CEST","6e:9f:e1:64:59:75","ff:ff:ff:ff:ff:ff","-13","<MISSING>"
"13","May  7, 2023 14:32:27.620760000 CEST","6e:9f:e1:64:59:75","ff:ff:ff:ff:ff:ff","-15","<MISSING>"
"14","May  7, 2023 14:33:13.397844000 CEST","aa:dd:e2:03:d5:f8","ff:ff:ff:ff:ff:ff","-12","<MISSING>"
"15","May  7, 2023 14:33:13.452791000 CEST","aa:dd:e2:03:d5:f8","ff:ff:ff:ff:ff:ff","-12","<MISSING>"
